Name,Age,MP,dPG%,dSG%,dSF%,dPF%,dC%,VR,MD,DEFL,FREQ,LT_06_%,PM,raDRDB,raDTOV
DeMar DeRozanCHI | SF,34,2989,7.9,19.6,39.2,25.2,8.1,28,70,1.7,40.5,61.5,-1.6,-0.28,-0.46
Domantas SabonisSAC | C,27,2928,5.5,8.3,7,16.2,62.9,3,87,2,44.2,58.5,-5.6,1.36,0.23
Coby WhiteCHI | PG,24,2881,28.2,33.2,22.4,10.3,5.9,40,87,1.1,34.1,70.5,7.5,0.78,-0.47
Mikal BridgesBKN | SF,27,2854,27.9,26.4,23.5,12.5,9.7,79,97,1.6,38.7,60.9,-1.7,-0.38,0.26
Paolo BancheroORL | PF,21,2799,8.7,12.6,27.5,37.2,14.1,38,78,1.4,43.6,60.2,-3.5,-0.45,0.61
Kevin DurantPHX | PF,35,2791,9.4,15.3,27.9,32.1,15.3,68,85,1.5,36.1,58.4,-5.2,1.88,-0.76
Dejounte MurrayATL | PG,27,2783,34.9,28.1,18.2,10.3,8.4,43,100,3,44.8,65,1.9,0.43,0.34
Anthony EdwardsMIN | SG,22,2770,16.4,25.8,29.2,22,6.5,74,80,2.1,33.3,58.9,-4,-0.57,0.53
Nikola JokicDEN | C,28,2737,6.7,7.1,7.5,16.5,62.3,4,73,3.1,42.1,64.6,0.2,2.68,-0.35
Jalen BrunsonNYK | PG,27,2726,33.3,28.3,21.5,10.5,6.4,42,70,1.5,36,67.8,4.6,-0.21,-0.3
Josh HartNYK | SF,28,2707,11.7,20.7,34.9,23.8,8.9,58,76,2,36.4,59.8,-3.9,0.56,-0.42
Anthony DavisLAL | C,30,2700,7.9,8.7,10.2,19.1,54,12,87,2.6,40,56.4,-7.4,1.71,0.09
Fred VanVleetHOU | PG,29,2684,30.3,31.3,18.7,11.6,8,53,87,3,35.5,60.5,-1.8,0.05,0.8
De'Aaron FoxSAC | PG,26,2659,33,29.7,18,12.4,6.9,45,88,3.6,33.9,64.5,1.5,0.01,-0.55
Pascal SiakamIND | PF,29,2657,9.4,14.9,29.1,33.3,13.3,55,79,1.7,39.8,63.1,0.1,1.31,-0.11
Jayson TatumBOS | SF,25,2645,14.3,20.1,31.2,19.1,15.3,91,80,2,36.5,62.9,-0.5,0.04,-0.07
Austin ReavesLAL | SG,25,2629,28.9,32.3,18.6,12.4,7.7,56,87,1.5,35.3,62.7,-0.2,-0.06,-0.14
Tyrese MaxeyPHI | PG,23,2626,28,32.8,20.9,12.4,6,48,75,1.5,35.3,61.6,-1.5,-0.33,-0.68
Luka DoncicDAL | SF,24,2624,13.8,19.1,32.2,24.3,10.7,78,68,2.5,38.9,63.4,0.1,-0.91,-0.5
Nikola VucevicCHI | C,33,2610,5.5,5.6,9.2,17.6,62.2,4,75,1.9,43.9,63.7,-0.4,1.7,-0.9
Jalen GreenHOU | SG,21,2601,15.7,34.8,28.7,14.7,6.1,40,68,1.7,39.3,60,-2.7,-1.8,-0.65
Rudy GobertMIN | C,31,2593,6.6,7.6,7.8,19,59,7,70,1.7,41.1,49.2,-13.8,0.67,-0.84
Keegan MurraySAC | PF,23,2588,13.5,29.3,30.8,18.4,8,64,90,1.8,41.3,58.6,-4.4,-0.05,0.01
Miles BridgesCHA | SF,25,2581,8.5,12.7,27.5,38.5,12.7,33,86,1.5,35.5,65.6,2,-1.06,0.08
Damian LillardMIL | PG,33,2579,27.7,34.8,22.6,8.7,6.1,34,78,2.5,31.6,61.7,-0.7,0.23,-0.34
Giannis AntetokounmpoMIL | PF,29,2567,10.4,10.3,22.8,33,23.6,66,74,2.2,39.4,53.8,-9.4,1.35,-0.6
Michael Porter Jr.DEN | PF,25,2565,10.8,22,33,25.5,8.7,59,64,1.2,42.3,60,-2.7,0.06,-0.19
Shai Gilgeous-AlexanderOKC | PG,25,2553,20.6,25.5,25,19.9,9,92,75,3.7,39.8,61.7,-0.8,-0.62,-0.26
Grayson AllenPHX | SG,28,2513,29.9,33.7,15.8,12.5,8.1,44,92,2.3,34.2,62.9,0,-0.04,-0.15
LeBron JamesLAL | PF,39,2504,9.2,16.2,27.4,35.3,11.9,47,71,1.8,34.4,61.5,-0.8,1.17,-0.15
Paul GeorgeLAC | SF,33,2502,17,29.2,22,18.9,13,94,81,3.1,39.7,56.4,-6,0.53,1.03
Dennis SchroderBKN | PG,30,2486,38.7,27.5,15.5,9.8,8.5,29,87,1.6,35.6,67.8,5.5,-0.74,0.18
D'Angelo RussellLAL | PG,27,2484,24.4,33.7,21.5,12.8,7.6,59,70,2.4,33.9,66.3,3.3,-0.63,0.02
James HardenLAC | SG,34,2470,16.4,25,24.2,23.6,10.8,94,70,2,37.8,63.8,0.4,-0.13,-0.33
Devin BookerPHX | SG,27,2447,21.1,26,27.3,17.9,7.8,84,76,1.5,36.8,63.4,0.9,-1.82,-0.17
Jarrett AllenCLE | C,25,2442,7.5,6.8,9.7,19.3,56.6,8,73,1.8,48.9,57,-7.3,0.21,-0.14
Jabari Smith Jr.HOU | PF,20,2424,9.4,17.1,24.8,27.9,20.8,88,73,1.9,37.8,59.2,-4.6,-0.13,-0.58
Stephen CurryGSW | PG,35,2421,20.8,35,23.9,14.1,6.3,51,75,1.7,32.2,66.5,3,-1.35,0.95
Bam AdebayoMIA | C,26,2416,7.4,8.3,10.8,21.4,52,12,75,2.3,34.2,57.9,-5.9,1.83,-0.31
Chet HolmgrenOKC | C,21,2413,6.6,7.7,9.5,20.6,55.6,9,68,1.4,50.2,52.9,-11.5,,
Brook LopezMIL | C,35,2411,7.9,7.9,10.2,18,56,9,69,1.6,38.5,55.8,-8.3,0.97,-1.44
Kentavious Caldwell-PopeDEN | SG,30,2402,25.1,33.1,24.9,9.7,7.2,46,93,2.7,30.6,66.7,3.7,-0.1,0.48
Bogdan BogdanovicATL | SG,31,2401,17.6,29.6,27.9,15.6,9.2,77,65,2.7,34.1,61.2,-1.3,0.1,-0.44
Brandon MillerCHA | SF,21,2383,17.9,33.2,26.7,14.1,8.1,61,73,1.9,45.8,63,0.1,,
Harrison BarnesSAC | PF,31,2381,7.6,12.6,27,37.3,15.5,37,84,1.5,33,63.8,-0.4,0.51,-0.27
Derrick WhiteBOS | SG,29,2381,27,32,19.9,12.6,8.6,65,84,2.3,37.7,57.2,-5.4,-1.18,0.17
Tobias HarrisPHI | PF,31,2368,10.4,12.3,29.8,31.7,15.8,62,76,1.7,38.8,62.4,-1.5,1.24,-0.33
Donte DiVincenzoNYK | SG,27,2360,25.1,33.1,22.1,13.4,6.3,56,74,3.7,39.6,66.5,3.3,-0.49,0.73
Jordan PooleWAS | SG,24,2346,22.1,30.7,28.3,12.7,6.3,57,64,2.2,38.3,67.7,5.4,0.31,-0.25
Jaylen BrownBOS | SF,27,2343,21.8,25.5,24.9,17.5,10.3,93,89,1.9,36,56.5,-6.3,-0.69,-0.37
Malik BeasleyMIL | SG,27,2337,30.2,34.1,18.9,8.6,8.2,37,91,1.7,30.7,68.3,5.5,0.25,0.08
Franz WagnerORL | SF,22,2337,10.8,25.2,34.5,21.8,7.7,49,72,2.2,36.1,59.8,-3.1,0.76,-0.07
Kawhi LeonardLAC | SF,32,2330,15.1,20.8,22.9,28.5,12.7,93,79,3,37.1,62.5,-0.6,1.89,0.15
Herbert JonesNOP | SF,25,2321,25.4,25.1,18.4,18.4,12.7,98,86,3,32.1,62.6,-0.5,-0.19,0.91
Aaron GordonDEN | PF,28,2297,10.3,12.4,25.4,35.4,16.6,57,83,1.6,34.3,59.3,-4.6,1.04,-0.5
Klay ThompsonGSW | SG,33,2284,17.1,25,24,24.3,9.6,92,73,1.3,37.1,62.1,-1.2,-1.15,-0.34
Kyle KuzmaWAS | PF,28,2281,9.2,13.8,25.7,35.7,15.6,53,77,0.9,44.7,63.7,-0.3,-0.07,-0.67
Jrue HolidayBOS | PG,33,2263,25.2,22.8,19.3,20.1,12.6,99,89,2.5,36.7,57.3,-6.1,0.4,0.39
Deni AvdijaWAS | SF,23,2257,16.7,21.8,24.9,21.9,14.6,100,79,1.5,43.4,61,-1.9,0.59,0.4
Devin VassellSAS | SG,23,2248,20.5,32.6,28.3,12.6,5.9,49,72,2.3,42.7,66.8,4.3,0.27,0.29
Luguentz DortOKC | SG,24,2246,25.8,27.3,19.3,18.8,8.8,87,100,2.1,29.8,60.1,-3.1,-1.87,0.67
Max StrusCLE | SG,27,2239,15.9,27.2,34.7,14.3,7.8,51,75,1.9,34.8,55.6,-6.8,1.37,-0.38
Dillon BrooksHOU | SF,28,2227,18.8,20,23,25.2,13,99,94,1.7,33.2,63.6,0.2,0.8,0.87
Tyrese HaliburtonIND | PG,23,2224,18.2,37,29.4,11.1,4.3,27,66,2.5,43.6,70.8,8.3,-2.47,-0.1
Jalen WilliamsOKC | SG,22,2223,15.8,24.6,18.7,26.2,14.7,98,87,3.2,43.8,53.6,-9.7,-1.1,0.94
P.J. WashingtonDAL | PF,25,2221,10.6,12.4,23.6,30.3,23.1,80,77,2.6,43.1,61.1,-2.1,-0.39,0.49
Jaden IveyDET | SG,21,2217,34,29.9,18.8,10.5,6.7,38,66,1.6,41.2,58.4,-3.8,-0.8,-0.34
Ayo DosunmuCHI | SG,24,2212,28.3,28.9,25.4,11.4,6,54,79,1.6,37.4,60.5,-2.9,0.45,0.33
Zion WilliamsonNOP | PF,23,2207,10.6,14.1,23.8,36.8,14.8,53,63,2.3,36.6,61.8,-1.3,0.37,0.46
Mike ConleyMIN | PG,36,2193,23.6,37.4,21.5,11.4,6.2,36,65,2.8,30.9,60.9,-1,0.36,0.21
Jeremy SochanSAS | PF,20,2193,17.2,18.2,26.8,27,10.7,90,95,2.2,37.1,62.9,-0.7,0.01,0.24
Buddy HieldPHI | SG,30,2160,21.8,27.2,27.2,16.6,7.2,79,68,2.3,42.4,61.4,-0.7,-1.43,0.02
CJ McCollumNOP | SG,32,2159,27.2,37.8,18.3,10.8,5.9,30,67,1.6,33.3,69,6.3,-0.36,-0.71
Spencer DinwiddieLAL | PG,30,2152,25.4,26.1,24.1,15.6,8.9,86,69,1.4,30.9,67.7,5.1,-0.46,-0.7
Tre JonesSAS | PG,24,2138,48.7,27.3,11.8,6.9,5.3,13,79,2.9,32.1,66.8,5.1,-0.43,0.17
Grant WilliamsCHA | PF,25,2130,9.7,11.2,17.9,30.2,31.1,59,68,1.3,34.9,66.9,3.7,0.99,0.18
Jaren Jackson Jr.MEM | PF,24,2124,7.2,11.1,16,20.9,44.8,21,66,3.1,43.3,55.6,-8,-0.47,-0.04
Tim Hardaway Jr.DAL | SG,31,2120,18.1,31.7,24.1,17.8,8.3,77,62,1.1,34.3,65.3,2.8,0.67,-0.41
Nic ClaxtonBKN | C,24,2116,10.2,9.3,11.4,18.3,50.8,14,60,1.9,42.8,55.3,-7.8,-1.13,0.36
Jaime Jaquez Jr.MIA | SF,22,2113,12.6,25.4,26.8,24.1,11.1,86,59,2.4,31.9,62.9,0.7,,
Taurean PrinceLAL | SF,29,2108,15.5,27.1,27,21.1,9.3,85,81,2,36.3,59.9,-3.9,-1.07,0.16
Victor WembanyamaSAS | C,20,2106,7,8.5,14.5,21.9,48.1,16,61,3.5,49.7,53.4,-11.1,,
Jaden McDanielsMIN | SF,23,2105,26.9,23,23.6,18.3,8.1,88,88,2.4,36.5,54.8,-7.2,-0.68,0.54
Brandon IngramNOP | SF,26,2103,13.8,20.8,27.5,28.8,9,78,67,1.7,36,64.1,0.8,0.04,-0.45
Scottie BarnesTOR | SF,22,2094,14.5,17.1,25.2,24.2,19,99,78,2.3,43.8,62.3,-0.9,-1.64,0.48
Jusuf NurkicPHX | C,29,2078,6.9,7.2,7.3,16.9,61.8,5,62,2.9,43.1,54.9,-8.7,3.22,-0.09
Myles TurnerIND | C,27,2076,5.5,6.1,8.7,16,63.7,2,72,1.9,49.9,59.5,-4.8,-0.32,0.28
Collin SextonUTA | PG,25,2075,22.6,37.9,21.4,10.7,7.3,37,60,2.2,32.8,66.5,3.5,-1.11,-0.33
Cam ThomasBKN | SG,22,2075,21.2,28.9,27.6,15.5,6.8,70,52,1.1,39.6,65.5,2.3,-0.76,-0.37
Cade CunninghamDET | SG,22,2074,20,24.3,29.4,18.5,7.8,82,65,1.8,40.8,65.2,3.2,-0.23,-0.04
Corey KispertWAS | SF,24,2067,15.3,30.9,27.6,18.7,7.5,68,53,1.2,39.4,64.1,1.9,-0.15,-1.28
Saddiq BeyATL | SF,24,2062,7.8,17.1,33.5,33,8.6,33,63,1.6,36,67.3,4.4,-0.1,-0.29
Kelly Oubre Jr.PHI | SF,28,2055,21.7,22.9,28.5,17.2,9.7,89,71,2.9,43.9,60.1,-2.2,-1.28,0.22
Alperen SengunHOU | C,21,2046,6.3,7.4,10.1,19.7,56.6,8,65,2.6,44.6,59.7,-4.8,0.04,0.26
Jimmy ButlerMIA | SF,34,2042,14.8,20.7,29.2,25.4,9.9,84,76,2.4,30.3,69.8,7,0.69,1.14
Terry RozierMIA | PG,29,2040,38.9,27.7,17.9,8.2,7.3,26,80,1.6,34.1,70.6,8.5,-0.14,-0.55
Alex CarusoCHI | PG,29,2040,28.9,22.2,24.1,17.9,6.9,80,87,4.7,32.2,58.1,-5.7,0.68,2.55
Keldon JohnsonSAS | SF,24,2038,9.8,21.9,30.6,28.3,9.4,62,64,1.7,40.4,65,2.3,-0.65,-0.39
Kyrie IrvingDAL | PG,31,2030,27,32.7,21.8,12.9,5.6,50,64,2.6,34,71.2,8.8,-2.5,0.08
Karl-Anthony TownsMIN | C,28,2026,6.4,12.2,19.5,35,27,43,57,1.5,31.1,63.2,0.3,0.69,-0.51
Jalen SuggsORL | PG,22,2025,33,36.2,15.5,8,7.3,25,77,3.4,37.9,56.7,-5.1,0.73,0.97
Keyonte GeorgeUTA | SG,20,2023,42.6,27.4,13,9.3,7.7,20,64,1,32.9,66.5,3.9,,
Josh GiddeyOKC | SF,21,2011,14.2,21.8,28.1,27,8.9,80,51,1.6,42.9,57.8,-4.2,-1.42,0.41
Bobby PortisMIL | PF,28,2008,7,10,18,30,35,35,49,2.4,43.5,64.7,1.6,0.45,-0.22
Aaron NesmithIND | SF,24,1995,14.5,17.9,35.1,24,8.4,59,79,2,39.2,52.5,-11.2,1.1,0.01
Gary Trent Jr.TOR | SG,25,1994,21.1,35.1,27.1,12.4,4.3,36,58,2.6,38.8,64,1.2,-1.96,0.64
Norman PowellLAC | SG,30,1990,19.4,33.2,23.7,17,6.7,66,54,1.7,35.7,62.7,-0.3,-1.16,-0.14
Immanuel QuickleyTOR | PG,24,1985,29.8,31.2,22,10.3,6.8,46,60,1.6,38.3,65.3,2.3,-0.77,-0.14
Brandin PodziemskiGSW | SG,20,1968,27,27.5,19.7,16.4,9.4,85,58,2.1,35.2,65,2,,
Naz ReidMIN | C,24,1964,8.1,13.6,21.6,34.2,22.6,64,45,1.9,44.3,57.5,-5.7,0.01,0.57
Caris LeVertCLE | SF,29,1958,25.3,25.6,27.8,12.9,8.4,76,66,2.7,35.8,54.3,-8.6,-1.63,-0.42
Royce O'NealePHX | SF,30,1954,12.6,19.5,28.2,22.9,16.7,95,59,2.3,40,61.6,-1.1,-0.99,-0.61
Jonathan KumingaGSW | SF,21,1949,18.3,20,21.5,28.5,11.7,95,67,1.7,36.4,61.2,-2.1,-0.94,0.07
Trae YoungATL | PG,25,1942,36.3,34.5,15.7,8.3,5.2,22,63,2.4,39.4,67.4,4.5,-2.98,0.09
Donovan MitchellCLE | SG,27,1942,24.5,29.2,25.6,13.1,7.6,70,65,3.1,35,65.7,2.5,1.16,0.15
Dorian Finney-SmithBKN | SF,30,1934,12.6,13.7,24.5,28.4,20.8,91,67,2.1,41.5,58.1,-4.8,0.41,0.07
Tyus JonesWAS | PG,27,1933,41.2,30.2,15.9,7.3,5.4,19,73,2.4,39,69,7.3,-0.4,0.41
Jonas ValanciunasNOP | C,31,1925,5.4,6.4,6.1,15.4,66.7,0,53,1,43.2,64,-0.4,1.44,-1.12
Nickeil Alexander-WalkerMIN | SG,25,1921,30.4,35.6,16.3,11.9,5.8,33,63,2.9,34.3,56.6,-4.9,-0.44,0.33
Andrew WigginsGSW | SF,28,1920,25.4,26.9,18.5,18.6,10.6,92,81,1.7,35.7,65.1,1.8,0.12,0.16
Duncan RobinsonMIA | SF,29,1905,14.7,30.1,27.6,20.5,7.2,69,46,1.8,37.4,62.6,0.5,-0.04,0.49
John CollinsUTA | PF,26,1901,6.5,10.6,20.1,33.7,29.2,40,58,1.2,42.9,61.9,-2.1,0.18,-0.71
Darius GarlandCLE | PG,24,1901,45.3,27.1,15.2,6.6,5.8,17,66,2.2,29.5,68.2,5.8,-0.87,0.61
Isaiah HartensteinNYK | C,25,1896,6.3,6.1,6.4,21.2,59.9,5,49,2.8,48.3,53.2,-11.1,-0.19,0.23
Eric GordonPHX | SG,35,1893,18.8,32.9,19.8,20.7,7.7,73,54,1.9,34.8,66.9,3.9,-0.34,-0.42
Jalen JohnsonATL | PF,22,1889,9.8,11.5,28,35.1,15.5,47,63,2.2,45.4,61.6,-2.1,-0.92,0.05
Isaac OkoroCLE | SF,23,1887,32.3,27.6,23.1,9.8,7.3,48,85,2,27.9,65.5,2.3,0.72,-0.35
Clint CapelaATL | C,29,1883,6.4,6.8,7.7,16.5,62.6,3,60,1.6,45.2,58.7,-5.5,1.3,-0.43
Terance MannLAC | SF,27,1873,30.8,30.6,15.8,13.8,9.1,61,66,1.4,34.9,64.3,2.1,-1.51,0.05
Malik MonkSAC | SG,25,1872,20.6,35.9,26.5,11.4,5.6,37,48,1.8,37.5,57.1,-4.7,-0.5,0.27
Bruce BrownTOR | SG,27,1866,24.6,22.5,28.6,16.1,8.2,82,70,2.2,42.3,66,2.9,-1.55,0.17
Jamal MurrayDEN | PG,26,1861,26.6,30.9,20.3,13.3,9,71,60,2.1,35.2,64,0.9,-1.75,0.45
RJ BarrettTOR | SF,23,1838,11.6,21.3,38.4,19.4,9.4,42,68,1.6,37.8,60.7,-2.3,-0.92,-0.86
